DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/08/2017,4:57,MANHATTAN,10001,40.745384,-73.99471,"(40.745384, -73.99471)",WEST 25 STREET                  ,7 AVENUE,,0,1,0,1,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3727247,,,,,
08/06/2017,0:28,QUEENS,11375,40.7174,-73.8572,"(40.7174, -73.8572)",YELLOWSTONE BOULEVARD           ,SELFRIDGE STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,3725371,PASSENGER VEHICLE,,,,
08/05/2017,19:32,,,40.79672,-73.97618,"(40.79672, -73.97618)",,,,2,1,0,0,0,0,2,1,Unsafe Speed,Unspecified,,,,3727452,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
08/04/2017,18:48,,,40.684082,-73.90864,"(40.684082, -73.90864)",BUSHWICK AVENUE                 ,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3727449,PASSENGER VEHICLE,,,,
08/04/2017,6:53,BROOKLYN,11237,40.713966,-73.92454,"(40.713966, -73.92454)",METROPOLITAN AVENUE             ,SCOTT AVENUE,,0,1,0,0,0,0,0,1,Driver Inexperience,Unspecified,Unspecified,,,3724909,PICK-UP TRUCK,MOTORCYCLE,,,
08/01/2017,1:58,,,40.728657,-73.863266,"(40.728657, -73.863266)",BOOTH STREET                    ,,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3722985,,,,,
07/30/2017,10:23,QUEENS,11415,40.70402,-73.8317,"(40.70402, -73.8317)",,,84-46     120 STREET                    ,0,1,0,1,0,0,0,0,Backing Unsafely,,,,,3723789,SPORT UTILITY / STATION WAGON,,,,
07/29/2017,15:21,MANHATTAN,10002,40.715553,-73.98976,"(40.715553, -73.98976)",ESSEX STREET                    ,HESTER STREET,,1,1,0,1,1,0,0,0,Unspecified,,,,,3720702,BICYCLE,,,,
07/28/2017,14:41,,,40.856056,-73.83293,"(40.856056, -73.83293)",,,,2,1,0,1,0,0,2,0,Unspecified,,,,,3720674,PASSENGER VEHICLE,,,,
07/28/2017,17:42,MANHATTAN,10021,40.768436,-73.96156,"(40.768436, -73.96156)",3 AVENUE                        ,EAST 70 STREET,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3720675,PASSENGER VEHICLE,,,,
02/17/2017,0:20,,,40.896595,-73.86081,"(40.896595, -73.86081)",,,,0,2,0,0,0,0,0,2,Unsafe Speed,,,,,3617441,PASSENGER VEHICLE,,,,
04/17/2017,18:21,,,40.65616,-73.76736,"(40.65616, -73.76736)",ROCKAWAY BOULEVARD              ,,,0,2,0,0,0,0,0,2,Unspecified,Unspecified,Unspecified,,,3652675,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/17/2017,0:55,QUEENS,11423,40.71184,-73.75409,"(40.71184, -73.75409)",100 AVENUE                      ,205 PLACE,,1,2,0,0,0,0,1,2,Unsafe Speed,,,,,3692535,PASSENGER VEHICLE,,,,
07/16/2017,6:26,,,40.722095,-73.77772,"(40.722095, -73.77772)",,,,8,2,0,0,0,0,8,2,Unsafe Speed,Unspecified,Unspecified,Unspecified,,3712016,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
12/27/2016,5:41,,,40.8446076,-73.9034715,"(40.8446076, -73.9034715)",,,,5,3,0,0,0,0,5,3,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3588439,PICK-UP TRUCK,PASSENGER VEHICLE,,,
09/18/2017,6:17,QUEENS,11354,40.762978,-73.83198,"(40.762978, -73.83198)",NORTHERN BOULEVARD              ,MAIN STREET,,16,3,3,2,0,0,13,1,Unsafe Speed,Unspecified,Unspecified,Unspecified,,3752786,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
